title,combine_feature
brave,scotland rebel bravery kelly macdonald julie walters billy connolly brenda chapman animation adventure comedy2 0 1 266 . 7
star trek beyond,sequel stranded hatred chris pine zachary quinto karl urban justin lin action adventure science fiction2 0 1 676 . 6
wall·e,romantic comedy ben burtt elissa knight jeff garlin andrew stanton animation family2 0 0 867 . 8
rush hour 3,ambassador chris tucker jackie chan hiroyuki sanada brett ratner action comedy crime2 0 0 786 . 1
2012,civilization natural disaster end of the world john cusack amanda peet chiwetel ejiofor roland emmerich action adventure science fiction2 0 0 91 05 . 6
a christmas carol,holiday based on novel victorian england gary oldman jim carrey steve valentine robert zemeckis animation drama2 0 0 91 16 . 6
jupiter ascending,jupiter space woman director mila kunis channing tatum sean bean lilly wachowski science fiction fantasy action2 0 1 525 . 2
the legend of tarzan,africa feral child tarzan alexander skarsgård margot robbie christoph waltz david yates action adventure2 0 1 665 . 5
"the chronicles of narnia: the lion, the witch and the wardrobe",saving the world witch based on novel william moseley anna popplewell skandar keynes andrew adamson adventure family fantasy2 0 0 51 26 . 7
x-men: apocalypse,mutant supernatural powers marvel comic james mcavoy michael fassbender jennifer lawrence bryan singer science fiction2 0 1 656 . 4
the dark knight,dc comics crime fighter secret identity christian bale heath ledger aaron eckhart christopher nolan drama action crime2 0 0 878 . 2
up,age difference central and south america balloon ed asner christopher plummer jordan nagai pete docter animation comedy family2 0 0 957 . 7
monsters vs aliens,alien giant robot duringcreditsstinger seth rogen reese witherspoon hugh laurie conrad vernon animation family adventure2 0 0 936 . 0
iron man,middle east arms dealer malibu robert downey jr. terrence howard jeff bridges jon favreau action science fiction adventure2 0 0 847 . 4
hugo,library clock film director ben kingsley sacha baron cohen asa butterfield martin scorsese adventure drama family2 0 1 11 17 . 0
wild wild west,steampunk based on tv series steam locomotive will smith kevin kline kenneth branagh barry sonnenfeld action adventure comedy1 9 9 965 . 1
the mummy: tomb of the dragon emperor,brendan fraser jet li john hannah rob cohen adventure action fantasy2 0 0 875 . 2
suicide squad,dc comics shared universe anti hero will smith margot robbie joel kinnaman david ayer action adventure crime2 0 1 685 . 9
evan almighty,father son relationship daily life married couple steve carell lauren graham john goodman tom shadyac fantasy comedy family2 0 0 765 . 3
edge of tomorrow,deja vu time warp restart tom cruise emily blunt brendan gleeson doug liman action science fiction2 0 1 457 . 6
waterworld,ocean tattoo mutant kevin costner chaim girafi rick aviles kevin reynolds adventure action1 9 9 575 . 9
g.i. joe: the rise of cobra,terrorist secret hostage dennis quaid channing tatum marlon wayans stephen sommers adventure action thriller2 0 0 985 . 6
inside out,dream cartoon imaginary friend amy poehler phyllis smith richard kind pete docter drama comedy animation2 0 1 568 . 0
the jungle book,based on novel snake wolf neel sethi bill murray ben kingsley jon favreau family adventure drama2 0 1 646 . 7
iron man 2,malibu marvel comic superhero robert downey jr. gwyneth paltrow don cheadle jon favreau adventure action science fiction2 0 1 046 . 6
snow white and the huntsman,queen magic fairy tale kristen stewart charlize theron chris hemsworth rupert sanders adventure fantasy drama2 0 1 255 . 8
maleficent,fairy tale villain sleeping beauty angelina jolie elle fanning sharlto copley robert stromberg fantasy adventure action2 0 1 457 . 0
dawn of the planet of the apes,leader colony post-apocalyptic andy serkis jason clarke gary oldman matt reeves science fiction action drama2 0 1 467 . 3
the lovers,josh hartnett simone kessell tamsin egerton roland joffé action adventure science fiction2 0 1 524 . 8
47 ronin,japan suicide samurai keanu reeves hiroyuki sanada kou shibasaki carl rinsch drama action adventure2 0 1 31 25 . 9
captain america: the winter soldier,washington d.c. future shield chris evans samuel l. jackson scarlett johansson anthony russo action adventure science fiction2 0 1 437 . 6
shrek forever after,ogre 3d mike myers eddie murphy cameron diaz mike mitchell comedy adventure fantasy2 0 1 056 . 0
tomorrowland,inventor apocalypse destiny britt robertson george clooney raffey cassidy brad bird adventure family mystery2 0 1 556 . 2
big hero 6,brother brother relationship hero talent scott adsit ryan potter daniel henney chris williams adventure family animation2 0 1 41 07 . 8
wreck-it ralph,support group product placement bullying john c. reilly sarah silverman jack mcbrayer rich moore family animation comedy2 0 1 21 17 . 1
the polar express,santa claus nerd faith tom hanks michael jeter nona gaye robert zemeckis adventure animation family2 0 0 41 16 . 4
independence day: resurgence,alternate history alien invasion liam hemsworth jeff goldblum bill pullman roland emmerich action adventure science fiction2 0 1 664 . 9
how to train your dragon,flying blacksmith arena jay baruchel gerard butler craig ferguson chris sanders fantasy adventure animation2 0 1 037 . 5
terminator 3: rise of the machines,saving the world artificial intelligence man vs machine arnold schwarzenegger nick stahl claire danes jonathan mostow action thriller science fiction2 0 0 375 . 9
guardians of the galaxy,marvel comic spaceship space chris pratt zoe saldana dave bautista james gunn action science fiction adventure2 0 1 477 . 9
interstellar,saving the world artificial intelligence father son relationship matthew mcconaughey jessica chastain anne hathaway christopher nolan adventure drama science fiction2 0 1 41 18 . 1
inception,loss of lover dream kidnapping leonardo dicaprio joseph gordon-levitt ellen page christopher nolan action thriller science fiction2 0 1 078 . 1
shin godzilla,monster godzilla giant monster hiroki hasegawa yutaka takenouchi satomi ishihara hideaki anno action adventure drama2 0 1 676 . 5
the hobbit: an unexpected journey,riddle elves dwarves ian mckellen martin freeman richard armitage peter jackson adventure fantasy action2 0 1 21 17 . 0
the fast and the furious,street gang car race undercover paul walker vin diesel michelle rodriguez rob cohen action crime thriller2 0 0 166 . 6
the curious case of benjamin button,diary navy funeral cate blanchett brad pitt tilda swinton david fincher fantasy drama thriller2 0 0 81 17 . 3
x-men: first class,cia mutant mine james mcavoy michael fassbender jennifer lawrence matthew vaughn action science fiction adventure2 0 1 157 . 1
the hunger games: mockingjay - part 2,revolution strong woman dystopia jennifer lawrence josh hutcherson liam hemsworth francis lawrence action adventure science fiction2 0 1 51 16 . 6
the sorcerer's apprentice,witch fire wolf nicolas cage jay baruchel monica bellucci jon turteltaub fantasy adventure action2 0 1 075 . 8
poseidon,new year's eve fire drowning kurt russell richard dreyfuss josh lucas wolfgang petersen adventure action drama2 0 0 655 . 5
alice through the looking glass,based on novel clock queen johnny depp mia wasikowska anne hathaway james bobin fantasy2 0 1 656 . 5
shrek the third,ambush sadness stage mike myers eddie murphy cameron diaz chris miller fantasy adventure animation2 0 0 756 . 0
warcraft,video game elves orcs paula patton travis fimmel ben foster duncan jones action adventure fantasy2 0 1 656 . 3
terminator genisys,saving the world artificial intelligence cyborg arnold schwarzenegger jason clarke emilia clarke alan taylor science fiction action thriller2 0 1 565 . 8
the chronicles of narnia: the voyage of the dawn treader,based on novel magic good vs evil skandar keynes georgie henley simon pegg michael apted adventure family fantasy2 0 1 086 . 2
pearl harbor,nurse patriotism hawaii ben affleck josh hartnett kate beckinsale michael bay history romance war2 0 0 156 . 6
transformers,destroy transformation alien shia labeouf josh duhamel megan fox michael bay adventure science fiction action2 0 0 766 . 6
alexander,aristotle egypt greece colin farrell angelina jolie val kilmer oliver stone war history action2 0 0 41 15 . 6
harry potter and the order of the phoenix,prophecy witch loss of lover daniel radcliffe rupert grint emma watson david yates adventure fantasy family2 0 0 767 . 4
harry potter and the goblet of fire,magic dying and death broom daniel radcliffe rupert grint emma watson mike newell adventure fantasy family2 0 0 51 17 . 5
hancock,flying alcohol love of one's life will smith charlize theron jason bateman peter berg fantasy action2 0 0 876 . 2
i am legend,saving the world lost civilisation post-apocalyptic will smith alice braga charlie tahan francis lawrence drama horror action2 0 0 71 26 . 9
charlie and the chocolate factory,london england father son relationship chocolate johnny depp freddie highmore david kelly tim burton adventure comedy family2 0 0 576 . 7
ratatouille,paris brother brother relationship expensive restaurant patton oswalt ian holm lou romano jan pinkava animation comedy family2 0 0 767 . 5
batman begins,himalaya martial arts dc comics christian bale michael caine liam neeson christopher nolan action crime drama2 0 0 567 . 5
madagascar: escape 2 africa,africa jealousy dance ben stiller jada pinkett smith david schwimmer eric darnell family animation2 0 0 81 06 . 2
night at the museum: battle of the smithsonian,museum theodore roosevelt duringcreditsstinger ben stiller amy adams owen wilson shawn levy adventure fantasy action2 0 0 955 . 9
x-men origins: wolverine,corruption mutant boxer hugh jackman liev schreiber danny huston gavin hood adventure action thriller2 0 0 946 . 2
the matrix revolutions,saving the world artificial intelligence man vs machine keanu reeves laurence fishburne carrie-anne moss lilly wachowski adventure action thriller2 0 0 31 16 . 4
frozen,queen musical princess kristen bell idina menzel jonathan groff chris buck animation adventure family2 0 1 31 17 . 3
the matrix reloaded,saving the world artificial intelligence man vs machine keanu reeves carrie-anne moss laurence fishburne lilly wachowski adventure action thriller2 0 0 356 . 7
thor: the dark world,marvel comic superhero based on comic book chris hemsworth natalie portman tom hiddleston alan taylor action adventure fantasy2 0 1 31 06 . 8
mad max: fury road,future chase post-apocalyptic tom hardy charlize theron nicholas hoult george miller action adventure science fiction2 0 1 557 . 2
angels & demons,rome vatican based on novel tom hanks ewan mcgregor ayelet zurer ron howard thriller mystery2 0 0 956 . 5
thor,new mexico banishment shield chris hemsworth natalie portman tom hiddleston kenneth branagh adventure fantasy action2 0 1 146 . 6
bolt,hamster kids and family animal john travolta miley cyrus susie essman chris williams animation family adventure2 0 0 81 16 . 3
g-force,dyr duringcreditsstinger sam rockwell penélope cruz tracy morgan hoyt yeatman fantasy action adventure2 0 0 975 . 1
wrath of the titans,underworld hades mythology sam worthington liam neeson ralph fiennes jonathan liebesman adventure2 0 1 235 . 5
dark shadows,witch imprisonment vampire johnny depp michelle pfeiffer helena bonham carter tim burton comedy fantasy2 0 1 255 . 7
mission: impossible - rogue nation,london england spy austria tom cruise rebecca ferguson simon pegg christopher mcquarrie action adventure thriller2 0 1 577 . 1
the wolfman,father son relationship victorian england remake benicio del toro anthony hopkins emily blunt joe johnston drama horror thriller2 0 1 025 . 5
bee movie,factory worker tennis flower jerry seinfeld renée zellweger jim cummings steve hickner family animation adventure2 0 0 71 05 . 7
kung fu panda 2,martial arts hope fleet jack black angelina jolie dustin hoffman jennifer yuh nelson animation family2 0 1 156 . 7
the last airbender,fire ice war ship noah ringer nicola peltz jackson rathbone m. night shyamalan action adventure family2 0 1 064 . 7
mission: impossible iii,berlin cia vatican tom cruise philip seymour hoffman ving rhames j.j. abrams adventure action thriller2 0 0 656 . 5
white house down,usa president conspiracy secret service channing tatum jamie foxx joey king roland emmerich action drama thriller2 0 1 366 . 4
mars needs moms,boy alien rescue seth green joan cusack dan fogler simon wells adventure animation family2 0 1 135 . 5
flushed away,london england underworld return hugh jackman kate winslet ian mckellen david bowers adventure animation comedy2 0 0 61 06 . 0
pan,flying magic fairy tale levi miller garrett hedlund hugh jackman joe wright adventure family fantasy2 0 1 595 . 9
mr. peabody & sherman,father son relationship egypt intelligence ty burrell max charles ariel winter rob minkoff animation adventure family2 0 1 426 . 7
troy,brother brother relationship adultery mythology brad pitt orlando bloom eric bana wolfgang petersen adventure drama war2 0 0 456 . 9
madagascar 3: europe's most wanted,madagascar 3d ben stiller sacha baron cohen david schwimmer conrad vernon animation family2 0 1 266 . 4
die another day,laser british secret service secret service agent pierce brosnan halle berry rosamund pike lee tamahori adventure action thriller2 0 0 21 15 . 8
ghostbusters,female friendship ghost hunting reboot melissa mccarthy kristen wiig kate mckinnon paul feig action fantasy comedy2 0 1 675 . 3
armageddon,saving the world paris moon bruce willis billy bob thornton ben affleck michael bay action thriller science fiction1 9 9 876 . 4
men in black ii,saving the world secret identity sun glasses tommy lee jones will smith rip torn barry sonnenfeld action adventure comedy2 0 0 276 . 0
beowulf,denmark nordic mythology lie ray winstone angelina jolie anthony hopkins robert zemeckis adventure action animation2 0 0 71 15 . 5
kung fu panda 3,china martial arts kung fu jack black bryan cranston dustin hoffman jennifer yuh nelson action adventure animation2 0 1 616 . 7
mission: impossible - ghost protocol,fight sequel mission tom cruise jeremy renner simon pegg brad bird action thriller adventure2 0 1 11 26 . 8
rise of the guardians,dream santa claus nightmare chris pine alec baldwin jude law peter ramsey fantasy animation family2 0 1 21 17 . 1
fun with dick and jane,based on novel desperation robber jim carrey téa leoni alec baldwin dean parisot comedy2 0 0 51 25 . 9
the last samurai,japan war crimes sense of guilt tom cruise ken watanabe william atherton edward zwick drama action war2 0 0 31 27 . 3
exodus: gods and kings,moses bible ancient egypt christian bale joel edgerton john turturro ridley scott adventure drama action2 0 1 41 25 . 6
star trek,spacecraft teleportation space mission chris pine zachary quinto leonard nimoy j.j. abrams science fiction action adventure2 0 0 957 . 4
spider-man,loss of lover spider thanksgiving tobey maguire willem dafoe kirsten dunst sam raimi fantasy action2 0 0 256 . 8
how to train your dragon 2,father son relationship wife husband relationship sacrifice jay baruchel gerard butler kristen wiig dean deblois fantasy action adventure2 0 1 467 . 6
gods of egypt,egypt underworld fight brenton thwaites nikolaj coster-waldau gerard butler alex proyas fantasy2 0 1 625 . 3
stealth,artificial intelligence u.s. navy aftercreditsstinger josh lucas jessica biel jamie foxx rob cohen action2 0 0 574 . 9
watchmen,dc comics secret identity mass murder malin åkerman billy crudup carla gugino zack snyder action mystery science fiction2 0 0 937 . 0
lethal weapon 4,lapd house on fire revolver mel gibson danny glover joe pesci richard donner action adventure comedy1 9 9 876 . 3
hulk,california san francisco monster eric bana jennifer connelly sam elliott ang lee drama action science fiction2 0 0 365 . 3
g.i. joe: retaliation,terror assassin secret dwayne johnson d.j. cotrona adrianne palicki jon m. chu adventure action science fiction2 0 1 335 . 4
sahara,tyrant ironclad ship matthew mcconaughey penélope cruz steve zahn breck eisner action adventure comedy2 0 0 545 . 7
final fantasy: the spirits within,battle assignment dystopia alien donald sutherland ming-na wen alec baldwin hironobu sakaguchi adventure action animation2 0 0 175 . 9
captain america: the first avenger,new york usa world war ii chris evans hugo weaving tommy lee jones joe johnston action adventure science fiction2 0 1 176 . 6
the world is not enough,british mission oil pierce brosnan sophie marceau robert carlyle michael apted adventure action thriller1 9 9 91 16 . 0
master and commander: the far side of the world,naturalist frigate self surgery russell crowe paul bettany james d'arcy peter weir adventure2 0 0 31 16 . 9
the twilight saga: breaking dawn - part 2,vampire romance villainess kristen stewart robert pattinson taylor lautner bill condon adventure fantasy drama2 0 1 21 16 . 1
happy feet two,penguin musical aftercreditsstinger elijah wood robin williams pink george miller animation comedy family2 0 1 11 15 . 8
the incredible hulk,new york rio de janeiro marvel comic edward norton liv tyler tim roth louis leterrier science fiction action adventure2 0 0 866 . 1
the bfg,london england england based on novel ruby barnhill mark rylance rebecca hall steven spielberg adventure family fantasy2 0 1 666 . 0
the revenant,father son relationship rape based on novel leonardo dicaprio tom hardy will poulter alejandro gonzález iñárritu western drama adventure2 0 1 51 27 . 3
turbo,underdog car race dream ryan reynolds paul giamatti michael peña david soren animation family2 0 1 376 . 1
rango,sheriff nevada pet johnny depp isla fisher ned beatty gore verbinski animation comedy family2 0 1 136 . 6
penguins of madagascar,penguin madagascar 3d tom mcgrath chris miller christopher knights eric darnell family animation adventure2 0 1 41 16 . 5
the bourne ultimatum,paris corruption madrid matt damon julia stiles david strathairn paul greengrass action drama mystery2 0 0 787 . 3
kung fu panda,china martial arts kung fu jack black dustin hoffman angelina jolie mark osborne adventure animation family2 0 0 866 . 9
ant-man,marvel comic superhero based on comic book paul rudd michael douglas evangeline lilly peyton reed science fiction action adventure2 0 1 577 . 0
the hunger games: catching fire,competition based on novel mentor jennifer lawrence josh hutcherson liam hemsworth francis lawrence adventure action science fiction2 0 1 31 17 . 4
home,friendship spaceship space jim parsons rihanna steve martin tim johnson fantasy comedy animation2 0 1 536 . 8
war of the worlds,post traumatic stress  disorder new jersey airplane tom cruise dakota fanning miranda otto steven spielberg adventure thriller science fiction2 0 0 566 . 2
bad boys ii,miami ku klux klan cuba martin lawrence will smith jordi mollà michael bay adventure action comedy2 0 0 376 . 3
puss in boots,adventure fairy-tale figure antonio banderas salma hayek zach galifianakis chris miller action adventure animation2 0 1 11 06 . 4
salt,assassination spy cia angelina jolie liev schreiber chiwetel ejiofor phillip noyce action mystery thriller2 0 1 076 . 2
noah,bible god noah russell crowe jennifer connelly emma watson darren aronofsky drama adventure2 0 1 435 . 6
the adventures of tintin,riddle captain treasure jamie bell andy serkis daniel craig steven spielberg adventure animation mystery2 0 1 11 06 . 7
harry potter and the prisoner of azkaban,flying traitor magic daniel radcliffe rupert grint emma watson alfonso cuarón adventure fantasy family2 0 0 457 . 7
australia,missionary world war ii ranch nicole kidman hugh jackman essie davis baz luhrmann drama2 0 0 81 16 . 3
after earth,dystopia jaden smith will smith sophie okonedo m. night shyamalan science fiction action adventure2 0 1 355 . 0
dinosaur,cataclysm asteroid leader d. b. sweeney alfre woodard ossie davis ralph zondag animation family2 0 0 056 . 2
night at the museum: secret of the tomb,night watchman museum natural history ben stiller rami malek rebel wilson shawn levy adventure comedy fantasy2 0 1 41 26 . 1
megamind,saving the world date prison will ferrell brad pitt tina fey tom mcgrath animation action comedy2 0 1 01 06 . 7
harry potter and the philosopher's stone,witch christmas party magic daniel radcliffe rupert grint emma watson chris columbus adventure fantasy family2 0 0 11 17 . 5
r.i.p.d.,gold police operation partner jeff bridges ryan reynolds kevin bacon robert schwentke fantasy action comedy2 0 1 375 . 4
pirates of the caribbean: the curse of the black pearl,exotic island blacksmith east india trading company johnny depp geoffrey rush orlando bloom gore verbinski adventure fantasy action2 0 0 377 . 5
the hunger games: mockingjay - part 1,resistance post-apocalyptic dystopia jennifer lawrence josh hutcherson liam hemsworth francis lawrence science fiction adventure thriller2 0 1 41 16 . 6
the da vinci code,paris holy grail christianity tom hanks audrey tautou ian mckellen ron howard thriller mystery2 0 0 656 . 5
rio 2,bird sequel jungle jesse eisenberg anne hathaway leslie mann carlos saldanha animation adventure comedy2 0 1 436 . 3
x2,mutant marvel comic superhero patrick stewart hugh jackman ian mckellen bryan singer adventure action science fiction2 0 0 346 . 8
fast five,brazil fbi freedom vin diesel paul walker jordana brewster justin lin action thriller crime2 0 1 147 . 1
sherlock holmes: a game of shadows,detective inspector steampunk criminal mastermind robert downey jr. jude law jared harris guy ritchie adventure action crime2 0 1 11 17 . 0
clash of the titans,hades mythology greek mythology sam worthington liam neeson ralph fiennes louis leterrier adventure fantasy action2 0 1 045 . 6
total recall,oxygen falsely accused resistance arnold schwarzenegger sharon stone rachel ticotin paul verhoeven action adventure science fiction1 9 9 067 . 1
the 13th warrior,witch cave arabian antonio banderas vladimir kulich dennis storhøi john mctiernan adventure fantasy action1 9 9 986 . 4
the bourne legacy,assassin wolf maryland jeremy renner rachel weisz edward norton tony gilroy action thriller2 0 1 286 . 0
batman & robin,double life dc comics dual identity george clooney chris o'donnell arnold schwarzenegger joel schumacher action crime fantasy1 9 9 764 . 2
how the grinch stole christmas,holiday christmas party new love jim carrey taylor momsen jeffrey tambor ron howard family comedy fantasy2 0 0 01 16 . 2
the day after tomorrow,saving the world library cataclysm dennis quaid jake gyllenhaal emmy rossum roland emmerich action adventure science fiction2 0 0 456 . 2
mission: impossible ii,terror spain cia tom cruise dougray scott thandie newton john woo adventure action thriller2 0 0 055 . 9
the perfect storm,u.s. air force grocery jamaican george clooney mark wahlberg diane lane wolfgang petersen drama2 0 0 036 . 2
fantastic 4: rise of the silver surfer,fire helicopter surfboard ioan gruffudd jessica alba chris evans tim story adventure fantasy action2 0 0 765 . 4
life of pi,ocean shipwreck hindu suraj sharma irrfan khan ayush tandon ang lee adventure drama action2 0 1 21 17 . 2
ghost rider,mephisto religion and supernatural dying and death nicolas cage eva mendes wes bentley mark steven johnson thriller action fantasy2 0 0 725 . 2
jason bourne,assassin amnesia flashback matt damon alicia vikander tommy lee jones paul greengrass action thriller2 0 1 675 . 9
charlie's angels: full throttle,robbery secret identity secret agent cameron diaz drew barrymore lucy liu mcg action adventure comedy2 0 0 365 . 2
prometheus,android dystopia alien noomi rapace michael fassbender guy pearce ridley scott science fiction adventure mystery2 0 1 256 . 3
stuart little 2,mouse falcon bird michael j. fox geena davis hugh laurie rob minkoff family adventure animation2 0 0 275 . 4
elysium,dystopia space station class conflict matt damon jodie foster sharlto copley neill blomkamp science fiction action drama2 0 1 386 . 4
the chronicles of riddick,prison dystopia matter of life and death vin diesel thandie newton karl urban david twohy action science fiction2 0 0 466 . 3
robocop,cyborg future dystopia joel kinnaman gary oldman michael keaton josé padilha action science fiction2 0 1 415 . 7
speed racer,car race loss of brother chimp emile hirsch christina ricci matthew fox lilly wachowski action family science fiction2 0 0 855 . 7
how do you know,love triangle baseball athlete reese witherspoon paul rudd owen wilson james l. brooks comedy drama romance2 0 1 01 24 . 9
knight and day,spy airport gas station tom cruise cameron diaz peter sarsgaard james mangold action comedy2 0 1 065 . 9
oblivion,spacecraft dystopia space tom cruise morgan freeman olga kurylenko joseph kosinski action science fiction adventure2 0 1 346 . 4
star wars: episode iii - revenge of the sith,showdown death star vision ewan mcgregor natalie portman hayden christensen george lucas science fiction adventure action2 0 0 557 . 1
star wars: episode ii - attack of the clones,senate investigation army ewan mcgregor natalie portman hayden christensen george lucas adventure action science fiction2 0 0 256 . 4
"monsters, inc.",monster infant energy supply john goodman billy crystal mary gibbs pete docter animation comedy family2 0 0 11 17 . 5
the wolverine,japan samurai mutant hugh jackman hiroyuki sanada famke janssen james mangold action science fiction adventure2 0 1 376 . 3
star wars: episode i - the phantom menace,prophecy senate queen liam neeson ewan mcgregor natalie portman george lucas adventure action science fiction1 9 9 956 . 3
